From src:'1'	To src:'3'
CHEMBL509903	A5T
CHEMBL4213923	5J5
CHEMBL1616046	8TR
CHEMBL3763993	5R8
CHEMBL1230610	891
CHEMBL3286930	17X
CHEMBL1929485	4TT
CHEMBL3298015	2WU
CHEMBL359788	TYP
CHEMBL4476817	FSZ
CHEMBL1802844	CWT
CHEMBL1314048	QTS
CHEMBL3289301	NTX
CHEMBL35292	16C
CHEMBL396056	GIG
CHEMBL1797281	SEZ
CHEMBL178563	K84
CHEMBL4161733	H7P
CHEMBL39064	NGA
CHEMBL2418558	AWH
CHEMBL2377687	56Z
CHEMBL4545848	KEW
CHEMBL4563716	HO1
CHEMBL4465346	OS3
CHEMBL1231178	B4N
CHEMBL97355	PRZ
CHEMBL1964243	46K
CHEMBL1894226	G9O
CHEMBL347547	UTS
CHEMBL4060569	9GJ
CHEMBL2165912	MK5
CHEMBL1405739	3E2
CHEMBL3752631	H2H
CHEMBL185586	SBH
CHEMBL4083927	O1S
CHEMBL1232723	FG2
CHEMBL2251817	2E4
CHEMBL3968104	BVY
CHEMBL4080621	7AU
CHEMBL3771180	GZA
CHEMBL245018	UN8
CHEMBL84963	0CT
CHEMBL282700	98B
CHEMBL3990284	W7L
CHEMBL259972	63X
CHEMBL1360596	RLI
CHEMBL1230244	4AA
CHEMBL1329102	7N2
CHEMBL291727	IMB
CHEMBL1241093	7YU
CHEMBL468612	AK8
CHEMBL2087078	573
CHEMBL3792857	S3C
CHEMBL4547604	FKQ
CHEMBL3114220	2B7
CHEMBL4445668	XX0
CHEMBL4555842	EYN
CHEMBL55866	7VJ
CHEMBL3614068	594
CHEMBL3422654	8R2
CHEMBL141889	CDA
CHEMBL3668698	8S5
CHEMBL495224	AA4
CHEMBL2409730	SFF
CHEMBL1288786	VFG
CHEMBL3741741	DY2
CHEMBL3741741	9XE
CHEMBL3393355	OJ5
CHEMBL1230160	3N3
CHEMBL3808396	LNZ
CHEMBL4518171	M6Y
CHEMBL4468672	EWN
CHEMBL426643	5MP
CHEMBL2203964	HPJ
CHEMBL1076638	IXP
CHEMBL4084054	8FR
CHEMBL1615283	X24
CHEMBL102953	FL0
CHEMBL405730	D4D
CHEMBL469949	N3E
CHEMBL4105386	8V7
CHEMBL367746	9DG
CHEMBL2089311	0RB
CHEMBL4074241	N5V
CHEMBL3990764	3RO
CHEMBL416755	OXI
CHEMBL1093745	A27
CHEMBL4300669	RD3
CHEMBL316582	L9B
CHEMBL4458056	E2N
CHEMBL1721265	DYZ
CHEMBL1231124	AZ5
CHEMBL4174786	CJ2
CHEMBL1234890	O28
CHEMBL261641	274
CHEMBL457299	EDO
CHEMBL324846	OCA
CHEMBL273158	GK4
CHEMBL3233809	GYX
CHEMBL519160	BCE
CHEMBL3823007	8LN
CHEMBL576739	3AM
CHEMBL470736	027
CHEMBL4552821	NJ7
CHEMBL3402654	HVJ
CHEMBL1275918	FP5
CHEMBL4076637	8U3
CHEMBL1233022	GFP
CHEMBL2178801	KEJ
CHEMBL4084029	9EZ
CHEMBL234569	VXR
CHEMBL273822	MTS
CHEMBL3330104	VVQ
CHEMBL435982	NHL
CHEMBL2163365	0XS
CHEMBL456163	LZ7
CHEMBL132722	APC
CHEMBL183906	0FS
CHEMBL194009	3IP
CHEMBL3818566	W67
CHEMBL607085	48U
CHEMBL118235	DVQ
CHEMBL4525406	NU7
CHEMBL3322308	T68
CHEMBL4205666	FKJ
CHEMBL519154	E12
CHEMBL1933582	664
CHEMBL251790	1PD
CHEMBL3752911	5BW
CHEMBL1224659	Q44
CHEMBL1231115	AYA
CHEMBL7747	IPJ
CHEMBL569078	925
CHEMBL2178148	10W
CHEMBL4303279	V0G
CHEMBL1614817	8OX
CHEMBL4434680	JFT
CHEMBL489074	ZZH
CHEMBL1939872	4UE
CHEMBL1289926	AXI
CHEMBL391737	894
CHEMBL595028	4D7
CHEMBL4092714	9H4
CHEMBL4210115	A5Y
CHEMBL202160	OQB
CHEMBL1196991	G0G
CHEMBL552355	HK9
CHEMBL135302	GLG
CHEMBL385911	470
CHEMBL2164411	AQ2
CHEMBL3798448	5MQ
CHEMBL483847	STJ
CHEMBL1231913	CPZ
CHEMBL2178647	2F1
CHEMBL4287507	9E6
CHEMBL1229853	273
CHEMBL502016	15U
CHEMBL3902513	5W6
CHEMBL3603923	51E
CHEMBL443652	OBZ
CHEMBL1800816	55B
CHEMBL1818120	Q19
CHEMBL571038	E86
CHEMBL3086091	2F5
CHEMBL4548694	9QD
CHEMBL454226	HGZ
CHEMBL485835	ENM
CHEMBL2177913	32D
CHEMBL4163507	7MU
CHEMBL524266	553
CHEMBL4081995	6W1
CHEMBL514748	6QM
CHEMBL3103988	NSE
CHEMBL3613784	59V
CHEMBL137	2MN
CHEMBL2326884	1FE
CHEMBL3904245	5Q6
CHEMBL19332	XI7
CHEMBL1230070	39P
CHEMBL505019	24T
CHEMBL3924715	J56
CHEMBL235821	V15
CHEMBL2011275	M5K
CHEMBL1673	AVP
CHEMBL115849	06C
CHEMBL1233477	HZP
CHEMBL1808759	AEU
CHEMBL1236215	TC8
CHEMBL462871	3GO
CHEMBL3818199	5GT
CHEMBL3980486	EZO
CHEMBL3398635	3Y3
CHEMBL1236463	TY4
CHEMBL258844	IQO
CHEMBL2088093	0S8
CHEMBL122927	3WA
CHEMBL257695	ATM
CHEMBL4449188	KEB
CHEMBL1873475	1E8
CHEMBL1235543	PYV
CHEMBL122264	2A6
CHEMBL4445540	HRS
CHEMBL250409	255
CHEMBL3982443	6ZD
CHEMBL3181913	9U3
CHEMBL1614842	AVX
CHEMBL4169828	DD8
CHEMBL527066	319
CHEMBL521686	09L
CHEMBL3622700	9LO
CHEMBL1088077	B46
CHEMBL4440107	LJY
CHEMBL122303	KAC
CHEMBL1229780	1TB
CHEMBL3770935	LTQ
CHEMBL3438117	JVQ
CHEMBL3794532	68D
CHEMBL3614113	44K
CHEMBL3084958	VD2
CHEMBL497719	MYL
CHEMBL1230564	7DE
CHEMBL119385	52P
CHEMBL3798755	6B4
CHEMBL55400	PRL
CHEMBL1230541	746
CHEMBL464345	GCO
CHEMBL583972	1DR
CHEMBL3354129	MB2
CHEMBL3941804	HL1
CHEMBL3969077	A3H
CHEMBL347048	2XQ
CHEMBL2426247	2XB
CHEMBL409153	QKM
CHEMBL301742	2C0
CHEMBL4438419	R3P
CHEMBL3330168	IE8
CHEMBL3596908	IPW
CHEMBL4077449	9U7
CHEMBL3425734	43G
CHEMBL1829212	GXM
CHEMBL1232386	DTH
CHEMBL3139982	50B
CHEMBL282597	DUB
CHEMBL72410	D2U
CHEMBL4090925	F1V
CHEMBL3237442	24V
CHEMBL204656	ELV
CHEMBL4548156	FTW
CHEMBL1233249	HC2
CHEMBL495235	DPD
CHEMBL1230339	50X
CHEMBL1236539	UCN
CHEMBL449611	3TL
CHEMBL4475496	J8N
CHEMBL1374420	UB7
CHEMBL3957330	7HO
CHEMBL2010998	E65
CHEMBL223155	SNJ
CHEMBL4548872	JF8
CHEMBL228228	GDG
CHEMBL513225	PYU
CHEMBL3635071	56P
CHEMBL1578072	68A
CHEMBL1200963	15M
CHEMBL375471	K55
CHEMBL53	OR9
CHEMBL107313	LTF
CHEMBL1231329	BHC
CHEMBL173373	9X7
CHEMBL1526763	BKY
CHEMBL1232305	DOC
CHEMBL1235802	S51
CHEMBL4092437	P59
CHEMBL552199	HBZ
CHEMBL3604793	2NK
CHEMBL1821963	053
CHEMBL206655	UN6
CHEMBL1738731	3QT
CHEMBL2057915	2VL
CHEMBL3353658	JB5
CHEMBL539433	B91
CHEMBL4568735	QYQ
CHEMBL1232829	FRJ
CHEMBL4560554	O9V
CHEMBL553944	5RN
CHEMBL2430868	VO1
CHEMBL4285846	84F
CHEMBL1738936	YLO
CHEMBL115824	1DA
CHEMBL3264610	6D8
CHEMBL394288	46L
CHEMBL8040	ANG
CHEMBL3110223	75X
CHEMBL1232979	GC2
CHEMBL2012449	EQ7
CHEMBL4522042	J0P
CHEMBL601202	Z96
CHEMBL3104375	UDD
CHEMBL1738840	MPW
CHEMBL268809	G8L
CHEMBL1950289	KBI
CHEMBL522782	5LU
CHEMBL216395	DRD
CHEMBL3819551	H65
CHEMBL452322	DXY
CHEMBL4578549	RDV
CHEMBL4204179	8EJ
CHEMBL1234952	OEV
CHEMBL2107822	NT5
CHEMBL4207852	B9W
CHEMBL227515	C5G
CHEMBL357516	SRK
CHEMBL1207787	HR1
CHEMBL206282	5KA
CHEMBL1233598	IMI
CHEMBL2158681	3YB
CHEMBL4061055	74K
CHEMBL568874	R24
CHEMBL3797274	5YC
CHEMBL38681	LY1
CHEMBL2043298	HI4
CHEMBL1234242	MCY
CHEMBL43068	VAL
CHEMBL3355099	2X0
CHEMBL4525964	SU3
CHEMBL82440	2SX
CHEMBL1649674	1NF
CHEMBL112362	381
CHEMBL2147538	07U
CHEMBL3609573	4KQ
CHEMBL252557	GOA
CHEMBL4096039	J3Q
CHEMBL1089137	625
CHEMBL2443027	50Q
CHEMBL567204	R22
CHEMBL4572648	8S9
CHEMBL4553210	MM8
CHEMBL1235535	PYF
CHEMBL3785703	65U
CHEMBL2270066	C2Y
CHEMBL234838	738
CHEMBL3233604	S0C
CHEMBL1412	PZE
CHEMBL191394	IIB
CHEMBL4092338	8CD
CHEMBL1741771	9ON
CHEMBL1162283	TNM
CHEMBL3138649	4PW
CHEMBL550073	6HK
CHEMBL1422641	BNS
CHEMBL163917	2ZF
CHEMBL4435900	6OK
CHEMBL1667963	LRT
CHEMBL490184	LJG
CHEMBL2011156	E90
CHEMBL2407822	TFY
CHEMBL1410015	IU1
CHEMBL3747183	0KB
CHEMBL4117515	J0D
CHEMBL1234565	MZL
CHEMBL2338378	BH8
CHEMBL492763	A2Z
CHEMBL461242	1X2
CHEMBL1182749	232
CHEMBL230446	6FW
CHEMBL167727	2ZQ
CHEMBL4210682	ERW
CHEMBL1650275	W16
CHEMBL235842	20Y
CHEMBL1610	5AC
CHEMBL562743	ZYQ
CHEMBL1224554	4JL
CHEMBL1236822	XM1
CHEMBL475797	JI1
CHEMBL3415182	43D
CHEMBL4443890	9Z7
CHEMBL3786260	L26
CHEMBL1229535	093
CHEMBL981	F5A
CHEMBL4517025	6JJ
CHEMBL510760	JI2
CHEMBL89506	TFC
CHEMBL4128951	E5W
CHEMBL2347187	1HM
CHEMBL4170539	FUK
CHEMBL2409865	1V2
CHEMBL1230627	8GT
CHEMBL3991297	W7D
CHEMBL2333770	BUR
CHEMBL3954262	77O
CHEMBL331057	195
CHEMBL165024	W56
CHEMBL523435	TSK
CHEMBL375655	GMP
CHEMBL461648	MT3
CHEMBL1230365	55V
CHEMBL472510	5YI
CHEMBL4474548	JCH
CHEMBL4562561	OEJ
CHEMBL3810133	34Y
CHEMBL2180767	35E
CHEMBL3800290	AH2
CHEMBL319447	5AT
CHEMBL3593715	JL9
CHEMBL1973996	36C
CHEMBL551393	LZF
CHEMBL3981727	2ZV
CHEMBL659	GNT
CHEMBL4303272	9P2
CHEMBL214502	694
CHEMBL27246	TCA
CHEMBL1929238	P7C
CHEMBL4244382	IR2
CHEMBL3110015	9F4
CHEMBL4085721	6UF
CHEMBL1196641	G3G
CHEMBL1951424	N7F
CHEMBL3416562	3XG
CHEMBL3394311	6W9
CHEMBL1255871	AXT
CHEMBL1076479	H00
CHEMBL193240	ROF
CHEMBL4578839	KT2
CHEMBL4099822	6ZE
CHEMBL1232772	FLY
CHEMBL539134	P47
CHEMBL63560	198
CHEMBL476926	GB7
CHEMBL1223458	X8E
CHEMBL2018855	0Y2
CHEMBL514554	P4N
CHEMBL1233722	J45
CHEMBL374662	306
CHEMBL329433	FR2
CHEMBL189464	FIS
CHEMBL1232240	DIP
CHEMBL2333412	KFH
CHEMBL12722	ZDV
CHEMBL2312191	TJF
CHEMBL4575148	5F7
CHEMBL2177861	KFZ
CHEMBL369180	CL3
CHEMBL1233960	LAZ
CHEMBL154947	7FL
CHEMBL4227945	36Y
CHEMBL1738946	Z87
CHEMBL4549771	6ZN
CHEMBL692	GOL
CHEMBL568192	999
CHEMBL3394057	43K
CHEMBL3797855	5XG
CHEMBL3955409	UNS
CHEMBL1412642	K0G
CHEMBL1232433	E13
CHEMBL490672	AG0
CHEMBL590283	MA
CHEMBL1234033	LL2
CHEMBL287556	KOJ
CHEMBL3110304	WF8
CHEMBL2311069	0QA
CHEMBL3092403	FK9
CHEMBL1232930	G52
CHEMBL4292853	G8W
CHEMBL3953659	N56
CHEMBL47277	7RC
CHEMBL1086863	G2F
CHEMBL464238	MEK
CHEMBL477	ADN
CHEMBL1204628	GSP
CHEMBL61236	2AQ
CHEMBL4089730	6GX
CHEMBL42312	MQ0
CHEMBL21932	ANN
CHEMBL2430855	VO2
CHEMBL3905354	7KR
CHEMBL155103	YZ9
CHEMBL4213403	8Q6
CHEMBL102970	PXL
CHEMBL4522789	BQ3
CHEMBL18901	RQ3
CHEMBL84446	FID
CHEMBL2170597	0BX
CHEMBL285913	XKG
CHEMBL513909	R78
CHEMBL1235333	PLR
CHEMBL1235287	PHL
CHEMBL1163071	GSU
CHEMBL165372	5NI
CHEMBL32113	PRD
CHEMBL4075970	42A
CHEMBL4225537	6Z3
CHEMBL4534216	LWS
CHEMBL3290477	2US
CHEMBL4581401	O9G
CHEMBL4555272	BHW
CHEMBL222361	K91
CHEMBL319467	4SP
CHEMBL371701	DOA
CHEMBL4546073	UK7
CHEMBL140220	D3L
CHEMBL401842	I50
CHEMBL4175305	EEZ
CHEMBL3326430	2YU
CHEMBL3527413	GVX
CHEMBL4439045	A4M
CHEMBL332958	DMZ
CHEMBL193446	I1E
CHEMBL116158	4IA
CHEMBL1085742	9K3
CHEMBL4456920	IL5
CHEMBL138806	OPA
CHEMBL1091199	LHJ
CHEMBL1171204	1GK
CHEMBL1171314	N2D
CHEMBL3237626	2L1
CHEMBL1088742	6X1
CHEMBL313378	H5J
CHEMBL3923414	5W9
CHEMBL400092	3KD
CHEMBL4553861	HAW
CHEMBL4297502	DJY
CHEMBL453029	04Q
CHEMBL603623	3KE
CHEMBL191476	1GB
CHEMBL261454	PY1
CHEMBL1951264	QMI
CHEMBL2058195	SBQ
CHEMBL2333345	F9P
CHEMBL145026	0JX
CHEMBL3760057	EVO
CHEMBL4069989	BBO
CHEMBL321029	JZ1
CHEMBL2316217	1AQ
CHEMBL1089210	NKS
CHEMBL4541841	C68
CHEMBL2333444	1BR
CHEMBL87852	Z41
CHEMBL14193	HBA
CHEMBL4167466	9NU
CHEMBL403893	D4R
CHEMBL3701698	H7Z
CHEMBL134537	D10
CHEMBL361403	BHI
CHEMBL1234416	MOJ
CHEMBL225963	HQK
CHEMBL3586664	Q1T
CHEMBL4088968	U91
CHEMBL573077	53V
CHEMBL4447685	OOD
CHEMBL3963350	5QH
CHEMBL2035651	0O4
CHEMBL1518	3CJ
CHEMBL3586447	4L6
CHEMBL3185136	9D2
CHEMBL1162294	ANI
CHEMBL4471306	QDH
CHEMBL2419503	LWW
CHEMBL545	EOH
CHEMBL2408611	1UO
CHEMBL3355053	QBB
CHEMBL221959	MI1
CHEMBL245621	MJV
CHEMBL260403	C8P
CHEMBL4281139	9KT
CHEMBL69098	ES9
CHEMBL2206059	0UJ
CHEMBL1075859	BD8
CHEMBL4589300	TFN
CHEMBL411084	WSK
CHEMBL3183624	2K1
CHEMBL1229855	277
CHEMBL4475027	R2H
CHEMBL1305397	7IA
CHEMBL29	PNN
CHEMBL4283787	8QQ
CHEMBL593791	GL7
CHEMBL3558976	UBW
CHEMBL574741	QLR
CHEMBL1643	RBV
CHEMBL2030869	MD5
CHEMBL55941	MB8
CHEMBL3775995	5V1
CHEMBL4594004	KHS
CHEMBL123440	14A
CHEMBL1835485	LK0
CHEMBL2414067	82E
CHEMBL4280657	8E6
CHEMBL196945	H50
CHEMBL289343	OEF
CHEMBL169233	FZ4
CHEMBL2048925	0FZ
CHEMBL1456302	QL5
CHEMBL2042870	EFU
CHEMBL3902759	70A
CHEMBL2032324	NUZ
CHEMBL252937	7IN
CHEMBL3265256	EVJ
CHEMBL4079541	AGJ
CHEMBL1269671	LPN
CHEMBL1828984	KRG
CHEMBL1083659	SUV
CHEMBL1341300	JGG
CHEMBL4474291	MLV
CHEMBL1236741	X0J
CHEMBL1271167	437
CHEMBL3964469	5M9
CHEMBL4444072	EQ9
CHEMBL4537101	C6H
CHEMBL4207266	EM8
CHEMBL67622	XGP
CHEMBL203187	ESC
CHEMBL478718	4BS
CHEMBL67133	R79
CHEMBL3314206	6FP
CHEMBL4454695	KMV
CHEMBL3814662	6DW
CHEMBL559147	Y27
CHEMBL1201387	X93
CHEMBL2377844	X3A
CHEMBL71893	A9H
CHEMBL525194	5BP
CHEMBL3427368	2B0
CHEMBL3613794	2J6
CHEMBL360356	D9Z
CHEMBL395543	V21
CHEMBL3604921	56G
CHEMBL1110	S7Y
CHEMBL108358	TIZ
CHEMBL1229079	VLM
CHEMBL1802335	MEX
CHEMBL129014	NRN
CHEMBL125750	TE7
CHEMBL123368	N76
CHEMBL1615104	MZA
CHEMBL450613	27J
CHEMBL426699	GNM
CHEMBL3092519	M95
CHEMBL1236070	STG
CHEMBL3823505	6FB
CHEMBL1161949	AI7
CHEMBL3605919	29M
CHEMBL242529	CIY
CHEMBL114383	3U4
CHEMBL471376	MQT
CHEMBL1235001	OPB
CHEMBL538693	DSH
CHEMBL3753249	1TC
CHEMBL2031558	0J6
CHEMBL1230685	9PR
CHEMBL1159524	BDP
CHEMBL1234104	LUZ
CHEMBL1255855	EFO
CHEMBL4528039	9KD
CHEMBL213758	509
CHEMBL3889679	6XG
CHEMBL264373	C2M
CHEMBL270722	CZ0
CHEMBL260880	B76
CHEMBL1482033	WK7
CHEMBL1233690	IW1
CHEMBL1430816	EJO
CHEMBL258040	740
CHEMBL401772	0YN
CHEMBL1096339	AES
CHEMBL297453	KDH
CHEMBL601500	WOW
CHEMBL3774798	5V7
CHEMBL426123	EF2
CHEMBL4084907	A3W
CHEMBL493316	WRG
CHEMBL406819	IM4
CHEMBL13968	LYT
CHEMBL4546918	OE4
CHEMBL4449602	644
CHEMBL427212	HPM
CHEMBL1487662	V1T
CHEMBL243789	L4G
CHEMBL1221627	455
CHEMBL153094	O48
CHEMBL4210860	FW4
CHEMBL452861	SNP
CHEMBL4283230	EFM
CHEMBL4096760	DQG
CHEMBL4455796	KMM
CHEMBL4588416	OSG
CHEMBL604196	F6P
CHEMBL3774784	FF8
CHEMBL18893	HTX
CHEMBL4462062	O9J
CHEMBL50894	ATU
CHEMBL52609	THM
CHEMBL3917975	6XN
CHEMBL4095957	8F3
CHEMBL2181979	09A
CHEMBL1086110	Z73
CHEMBL2408267	2GN
CHEMBL458023	BZ9
CHEMBL4290493	K0X
CHEMBL3331521	Q2T
CHEMBL1233056	GL3
CHEMBL117804	0SW
CHEMBL1234815	NPZ
CHEMBL1173655	0WM
CHEMBL3427435	T57
CHEMBL1229588	0PJ
CHEMBL132376	GS1
CHEMBL253881	CKK
CHEMBL1143	5JC
CHEMBL288100	MZM
CHEMBL428581	GFN
CHEMBL433921	INL
CHEMBL3233201	YH1
CHEMBL1232414	DXP
CHEMBL118722	NTK
CHEMBL1233691	IW2
CHEMBL4216226	R9B
CHEMBL79512	PBN
CHEMBL371491	PGJ
CHEMBL1560494	N8Z
CHEMBL4282493	68E
CHEMBL2381246	1AO
CHEMBL7889	IEL
CHEMBL2402202	0PC
CHEMBL1945804	3TA
CHEMBL1413141	36K
CHEMBL4570541	CTU
CHEMBL4475463	L5B
CHEMBL4443463	C82
CHEMBL2326847	2UL
CHEMBL1234599	N7P
CHEMBL603156	B2U
CHEMBL3093760	MH7
CHEMBL3889874	5W3
CHEMBL418068	RHN
CHEMBL4067978	XZN
CHEMBL1235646	REC
CHEMBL109367	155
CHEMBL291747	THR
CHEMBL2420945	C93
CHEMBL1852591	CB7
CHEMBL539906	ZYR
CHEMBL71611	1CN
CHEMBL1493596	T81
CHEMBL591118	B1Q
CHEMBL2430735	22Y
CHEMBL2070936	0LB
CHEMBL221170	7IP
CHEMBL4293576	8JR
CHEMBL4556087	NQ2
CHEMBL4202601	E0E
CHEMBL47302	CK2
CHEMBL227121	XLC
CHEMBL3133807	BMF
CHEMBL3237972	B1W
CHEMBL3234614	5G7
CHEMBL3342693	4UL
CHEMBL2372446	0D3
CHEMBL2420203	1WN
CHEMBL1231661	CB4
CHEMBL551717	I39
CHEMBL3288032	M3E
CHEMBL230910	872
CHEMBL744	657
CHEMBL178727	9Z8
CHEMBL119296	N2P
CHEMBL572124	P1Y
CHEMBL1809211	PMJ
CHEMBL1236782	XBJ
CHEMBL1092943	N32
CHEMBL168634	NDT
CHEMBL430488	HBY
CHEMBL1561	MIG
CHEMBL3426611	J5L
CHEMBL3775636	5UB
CHEMBL4288634	J2Y
CHEMBL46403	STE
CHEMBL2386636	15T
CHEMBL4164533	GA6
CHEMBL3808441	68J
CHEMBL34921	MUA
CHEMBL2093230	Q2N
CHEMBL1236255	TF3
CHEMBL4160587	9EO
CHEMBL1435984	2BY
CHEMBL2177161	GR9
CHEMBL259850	TMU
CHEMBL284521	HWH
CHEMBL2177175	G8B
CHEMBL303797	2EZ
CHEMBL4517346	5XQ
CHEMBL382201	EIN
CHEMBL4591006	DU6
CHEMBL122977	WVV
CHEMBL247378	7NI
CHEMBL1990168	9V5
CHEMBL4461328	N1V
CHEMBL2059034	0MD
CHEMBL4070120	R9P
CHEMBL199237	BI5
CHEMBL4282264	6TF
CHEMBL1224151	GZR
CHEMBL4159634	K45
CHEMBL1236131	T1N
CHEMBL1092584	B36
CHEMBL1185242	317
CHEMBL522	ABN
CHEMBL39221	3FG
CHEMBL290744	LME
CHEMBL1722016	WBY
CHEMBL2333434	1BQ
CHEMBL402134	WSD
CHEMBL3183898	T6T
CHEMBL132474	UND
CHEMBL4205248	ESK
CHEMBL4065757	8ZM
CHEMBL2413822	F60
CHEMBL264682	6PN
CHEMBL2348415	W32
CHEMBL3622929	X6G
CHEMBL1372697	S6V
CHEMBL4090226	LCB
CHEMBL2207506	VEK
CHEMBL592445	VL1
CHEMBL293950	IZN
CHEMBL406734	S17
CHEMBL3113992	2EU
CHEMBL4517951	F8E
CHEMBL2270639	C8B
CHEMBL4572000	KBD
CHEMBL3780398	EB0
CHEMBL200238	FCD
CHEMBL3972619	HU0
CHEMBL1162490	TYF
CHEMBL2037200	9G5
CHEMBL4535505	TGD
CHEMBL2152252	O92
CHEMBL4439154	Q3Y
CHEMBL549748	T4A
CHEMBL4437824	83A
CHEMBL560895	E0G
CHEMBL24828	ZD6
CHEMBL1235764	RVP
CHEMBL3140272	BS5
CHEMBL1233687	IU5
CHEMBL1908941	QO1
CHEMBL1738872	QJ9
CHEMBL1879649	YP6
CHEMBL1213397	MVL
CHEMBL711	UAS
CHEMBL406317	009
CHEMBL221735	373
CHEMBL511942	PB3
CHEMBL200528	IYZ
CHEMBL23906	3ZB
CHEMBL590335	ZZK
CHEMBL730	TNG
CHEMBL101801	ST8
CHEMBL4583461	2ZT
CHEMBL4465498	827
CHEMBL4281719	16Y
CHEMBL178889	GVA
CHEMBL4440058	GOE
CHEMBL1778133	RHU
CHEMBL266160	ARF
CHEMBL53566	YRL
CHEMBL1650940	5CQ
CHEMBL1406064	JX8
CHEMBL1234674	NDS
CHEMBL4091824	P35
CHEMBL151993	TER
CHEMBL3971067	A3E
CHEMBL123798	ECZ
CHEMBL404150	AED
CHEMBL604608	FRU
CHEMBL4582404	8ZE
CHEMBL204593	915
CHEMBL1615232	SOL
CHEMBL3808980	5UH
CHEMBL242102	MWB
CHEMBL4098643	8XP
CHEMBL411274	B29
CHEMBL4452281	JQY
CHEMBL3427434	CTW
CHEMBL3326438	HQT
CHEMBL1213604	NB1
CHEMBL3891386	L29
CHEMBL4465054	1SY
CHEMBL1707026	7GC
CHEMBL411879	LAB
CHEMBL2381968	1VV
CHEMBL440498	RS1
CHEMBL413	RAP
CHEMBL4289824	ZPN
CHEMBL2398609	XKA
CHEMBL2064330	VWN
CHEMBL2165916	M86
CHEMBL4577516	5EV
CHEMBL36040	81A
CHEMBL139020	MNP
CHEMBL2089125	THZ
CHEMBL4449197	4UR
CHEMBL4227737	60Q
CHEMBL3088232	CF9
CHEMBL109341	SXX
CHEMBL491	HFT
CHEMBL2059003	88R
CHEMBL4441158	CKU
CHEMBL3944613	M4H
CHEMBL1231559	C1C
CHEMBL224144	FP2
CHEMBL24722	1DO
CHEMBL3139682	M68
CHEMBL4515727	Q1M
CHEMBL1235250	PG0
CHEMBL1958337	08K
CHEMBL409012	0M7
CHEMBL46294	DHF
CHEMBL1084643	8SU
CHEMBL1232411	DXE
CHEMBL516159	X97
CHEMBL1233085	GNP
CHEMBL4216198	CZV
CHEMBL31962	BUB
CHEMBL454739	9EQ
CHEMBL477508	T5P
CHEMBL184151	244
CHEMBL4588022	M7T
CHEMBL497075	T18
CHEMBL1738943	Z84
CHEMBL1229826	245
CHEMBL2357735	47V
CHEMBL1164855	EOE
CHEMBL4445079	KW7
CHEMBL1234222	MAF
CHEMBL1234222	MBF
CHEMBL3219804	9DR
CHEMBL1236462	TY2
CHEMBL2252086	02Q
CHEMBL3343033	0N5
CHEMBL1234234	MCF
CHEMBL3696708	ELZ
CHEMBL3622208	55M
CHEMBL222419	BLZ
CHEMBL178387	65K
CHEMBL3971182	65Z
CHEMBL540497	H4K
CHEMBL4597183	YQM
CHEMBL402626	SX3
CHEMBL1893032	SZK
CHEMBL1196664	UNB
CHEMBL1104	EDR
CHEMBL3414694	VJP
CHEMBL1092788	Z81
CHEMBL3605836	1LW
CHEMBL492529	J5Z
CHEMBL112896	PU8
CHEMBL1738787	D9H
CHEMBL3401827	5QG
CHEMBL288149	9EN
CHEMBL122938	GB
CHEMBL1511860	WMM
CHEMBL1408855	ODH
CHEMBL1083810	JZX
CHEMBL1233002	GDT
CHEMBL483790	92G
CHEMBL561114	X36
CHEMBL187835	CDV
CHEMBL1956635	0DN
CHEMBL4217428	FYH
CHEMBL1206225	8HI
CHEMBL218019	8SZ
CHEMBL197474	TN3
CHEMBL1800955	2OW
CHEMBL2006044	7JX
CHEMBL3127491	1T5
CHEMBL1230397	5DE
CHEMBL3823738	6KD
CHEMBL1233479	I01
CHEMBL4164098	K6M
CHEMBL414948	25A
CHEMBL3237968	B0Z
CHEMBL1502265	WMR
CHEMBL1182001	GIL
CHEMBL3356684	35D
CHEMBL465	TCI
CHEMBL1233851	KIF
CHEMBL2385482	KLJ
CHEMBL3781863	58R
CHEMBL4095093	FJI
CHEMBL79455	AZI
CHEMBL176599	JTA
CHEMBL493080	BC6
CHEMBL595066	0BI
CHEMBL1783826	DGV
CHEMBL488436	FB8
CHEMBL404116	LAR
CHEMBL2110734	GXU
CHEMBL4060760	BR9
CHEMBL39	SRO
CHEMBL514699	HA2
CHEMBL3120364	2T7
CHEMBL563168	ZZ6
CHEMBL1233897	KXO
CHEMBL1236704	WBU
CHEMBL3317781	BH2
CHEMBL585	DX2
CHEMBL388471	CFI
CHEMBL3586662	S84
CHEMBL257975	BG6
CHEMBL2031545	DN8
CHEMBL275084	IBM
CHEMBL123850	BEJ
CHEMBL1229260	2TS
CHEMBL1235832	SAQ
CHEMBL4450102	O51
CHEMBL495112	CEU
CHEMBL3640290	60X
CHEMBL3697578	G3U
CHEMBL4241044	2H7
CHEMBL423192	ANM
CHEMBL3792975	5BG
CHEMBL1231562	C1F
CHEMBL1233769	JSR
CHEMBL2170601	0BY
CHEMBL134886	OCT
CHEMBL3617088	4W6
CHEMBL283639	W71
CHEMBL401874	003
CHEMBL1234850	NTF
CHEMBL196105	8AC
CHEMBL3262020	S7K
CHEMBL3218576	6E2
CHEMBL3799807	NJD
CHEMBL194014	36M
