From src:'1'	To src:'3'
CHEMBL485285	19B
CHEMBL259905	DIG
CHEMBL498878	9CL
CHEMBL1825096	D37
CHEMBL4520775	K09
CHEMBL1229560	IU
CHEMBL296407	JGB
CHEMBL578135	B61
CHEMBL402761	FXA
CHEMBL4440358	8L9
CHEMBL1229095	F06
CHEMBL272427	5D5
CHEMBL1230039	34A
CHEMBL1450327	27G
CHEMBL3609327	XR1
CHEMBL148660	4JE
CHEMBL4574949	K4T
CHEMBL190447	BON
CHEMBL3247413	O1J
CHEMBL3343300	2OJ
CHEMBL221181	422
CHEMBL1409777	41U
CHEMBL562310	IWR
CHEMBL4465674	HQ5
CHEMBL552741	4JJ
CHEMBL207225	IOP
CHEMBL425252	CDP
CHEMBL1185321	04G
CHEMBL236573	347
CHEMBL462490	FQX
CHEMBL4168268	9GZ
CHEMBL1321509	CJ7
CHEMBL3769965	4QH
CHEMBL257705	6C3
CHEMBL1229947	2IH
CHEMBL2322677	IQ6
CHEMBL503090	320
CHEMBL448805	GLO
CHEMBL4081493	7HR
CHEMBL4214703	FVM
CHEMBL4214299	D7T
CHEMBL3290331	30J
CHEMBL3774774	7QN
CHEMBL2204995	A97
CHEMBL1560712	41L
CHEMBL286204	NTM
CHEMBL8706	MLG
CHEMBL164449	7ZE
CHEMBL4228624	9BK
CHEMBL2032374	0F9
CHEMBL3356579	39U
CHEMBL2023820	0HV
CHEMBL3109933	7RO
CHEMBL4539935	RZZ
CHEMBL4525719	SUZ
CHEMBL1232182	DFB
CHEMBL231522	006
CHEMBL3558697	3O5
CHEMBL2017269	S5B
CHEMBL4071151	H8Z
CHEMBL372840	ZHB
CHEMBL234926	5VQ
CHEMBL4125895	9T7
CHEMBL151831	PX5
CHEMBL194126	LLL
CHEMBL483716	HUX
CHEMBL4167110	Q4G
CHEMBL2088338	JD1
CHEMBL1738875	QO9
CHEMBL255510	296
CHEMBL3813927	0KH
CHEMBL205786	3QC
CHEMBL1945406	UXH
CHEMBL3134414	4MX
CHEMBL4441232	6WH
CHEMBL1241674	P2X
CHEMBL160811	FTM
CHEMBL3799265	GRK
CHEMBL373123	ECE
CHEMBL3577268	2VG
CHEMBL3098917	1MX
CHEMBL513308	101
CHEMBL2419267	93W
CHEMBL3410453	3EZ
CHEMBL493174	MZX
CHEMBL4216497	8VX
CHEMBL4462187	JQN
CHEMBL4227722	F51
CHEMBL371861	N3B
CHEMBL4440111	BYZ
CHEMBL4064608	6R1
CHEMBL3989665	AFS
CHEMBL1993862	9TY
CHEMBL323821	11K
CHEMBL4579923	NQ5
CHEMBL1430	LEI
CHEMBL3823966	7M5
CHEMBL3810303	XZ8
CHEMBL2314698	1DY
CHEMBL2181911	0K9
CHEMBL254328	AER
CHEMBL4086276	7M8
CHEMBL4165953	AUV
CHEMBL365663	5G9
CHEMBL3775262	35M
CHEMBL3086685	F46
CHEMBL4297451	99B
CHEMBL4473567	OUM
CHEMBL130	CLM
CHEMBL1684984	MMD
CHEMBL2403820	AQM
CHEMBL4449381	HL7
CHEMBL2426552	CHV
CHEMBL1236486	TZZ
CHEMBL1236897	YES
CHEMBL4216752	EO0
CHEMBL2401963	1C7
CHEMBL4437605	J3Y
CHEMBL378927	A41
CHEMBL403350	SC8
CHEMBL154493	3FT
CHEMBL4558430	GKB
CHEMBL394429	DT
CHEMBL394429	TMP
CHEMBL3353016	3WJ
CHEMBL388901	MU1
CHEMBL1739997	C2Z
CHEMBL1234746	NJ8
CHEMBL1738719	2NQ
